0, 0.00000000
1, 0.01745174
2, 0.03490083
3, 0.05234593
4, 0.06978574
5, 0.08721892
6, 0.10464418
7, 0.12206021
8, 0.13946572
9, 0.15685943
10, 0.17424006
11, 0.19160637
12, 0.20895711
13, 0.22629105
14, 0.24360698
15, 0.26090372
16, 0.27818008
17, 0.29543493
18, 0.31266712
19, 0.32987555
20, 0.34705915
21, 0.36421685
22, 0.38134762
23, 0.39845047
24, 0.41552442
25, 0.43256853
26, 0.44958189
27, 0.46656362
28, 0.48351288
29, 0.50042886
30, 0.51731079
31, 0.53415792
32, 0.55096957
33, 0.56774507
34, 0.58448380
35, 0.60118518
36, 0.61784868
37, 0.63447380
38, 0.65106010
39, 0.66760716
40, 0.68411462
41, 0.70058218
42, 0.71700955
43, 0.73339652
44, 0.74974291
45, 0.76604861
46, 0.78231352
47, 0.79853763
48, 0.81472095
49, 0.83086356
50, 0.84696558
51, 0.86302718
52, 0.87904859
53, 0.89503007
54, 0.91097197
55, 0.92687465
56, 0.94273854
57, 0.95856411
58, 0.97435190
59, 0.99010248
60, 1.00581649
61, 1.02149459
62, 1.03713751
63, 1.05274603
64, 1.06832097
65, 1.08386319
66, 1.09937360
67, 1.11485317
68, 1.13030288
69, 1.14572379
70, 1.16111697
71, 1.17648356
72, 1.19182471
73, 1.20714161
74, 1.22243551
75, 1.23770767
76, 1.25295939
77, 1.26819200
78, 1.28340685
79, 1.29860533
80, 1.31378886
81, 1.32895885
82, 1.34411676
83, 1.35926407
84, 1.37440225
85, 1.38953281
86, 1.40465725
87, 1.41977710
88, 1.43489389
89, 1.45000914
90, 1.46512439
